X,Y,Z,Name,tipo,descripcion,telefono,horario,direccion,especialidades,Contrera,Horario2,Martes y Jueves,TE,TEL,n,n de,rcoles y Viernes
-64.248648,-31.325207,0,CS N° 61 - Cerrito Autodromo,Centro de Salud,"Calle Domingo Marimon esq Mario Sesarego
Atención 7 a 14 hs
TE: 03543-449421-9020","Calle Domingo Marimon esq Mario Sesarego
Atención 7 a 14 hs
TE: 03543-449421-9020","Calle Domingo Marimon esq Mario Sesarego
Atención 7 a 14 hs
TE: 03543-449421-9020","Calle Domingo Marimon esq Mario Sesarego
Atención 7 a 14 hs
TE: 03543-449421-9020","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,03543-449421-9020,,,,
-64.2701,-31.313475,0,CS N° 62 - Villa Cornú,Centro de Salud,"Llancaquen y Loncoche
Atención 7 a 14 hs","155494983",Lunes a viernes de 7 a 14 hs,"Llancaquen y Loncoche
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,,,,,
-64.259353,-31.415466,0,CS N° 63 - Parque República,Centro de Salud,"Namuncura y Mariano Rosas 
Atención: 7 a 19 hs
TE: 4337818","4337818","Lunes a viernes de 7 a 19 hs
","Namuncura y Mariano Rosas
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,"4337818",,7 a 19 hs,,
-64.165108,-31.452486,0,CS N° 64 - Oña / Bialet Massé,Centro de Salud,"Calle Los Hornillos esq. Cerro Colorado
Atención: 7 a 14hs.
TE: 4334378","4334378","Lunes a viernes de 7 a 14 hs.
","Los Hornillos esq. Cerro Colorado
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,"4334378",,7 a 14hs.,,
-64.247017,-31.421891,0,CS N° 65 - San Roque,Centro de Salud,"Sargento Gomez esquina Av. Kingley
Horario: 7-19 hs 
TE: 4333210 / 3315",4333210 / 3315,"Lunes a viernes de 7 a 19 hs
","Sargento Gomez esquina Av. Kingley

","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,7-19 hs,,4333210 / 3315,,,,
-64.256233,-31.32051,0,CS N° 66 - Mercantil Anexo,Centro de Salud,"C. Beta 7328
Atención: 7 a 14hs.
TE: 03543-449430 / 9022",03543-449430 / 9022,"Lunes a viernes de 7 a 14 hs.
","C. Beta 7328
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,03543-449430 / 9022,,7 a 14hs.,,
-64.261726,-31.313572,0,CS N° 67 - 16 de Noviembre,Centro de Salud,"Cauque y Jose Torre Revello
Atención 7 a 14 hs 
TE: 03543-449431 / 9443","03543-449431 / 9443
",Lunes a viernes de 7 a 14 hs.,"Cauque y José Torre Revello
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,03543-449431 / 9443,,,,
-64.144551,-31.46598,0,CS N° 68 - Carcano,Centro de Salud,"Calle Las Altas Cumbres 3830
Atención: 7 a 14 hs 
TE: 4338500","Calle Las Altas Cumbres 3830
Atención: 7 a 14 hs 
TE: 4338500","Calle Las Altas Cumbres 3830
Atención: 7 a 14 hs 
TE: 4338500","Calle Las Altas Cumbres 3830
Atención: 7 a 14 hs 
TE: 4338500",,,,,"4338500",,7 a 14 hs,,
-64.060866,-31.369312,0,CS N° 69 - General Arenales,Centro de Salud,"Calle La Pirincha esq. El Crespin
Atención: 7 a 18 hs 
TE: 4997931","Calle La Pirincha esq. El Crespin
Atención: 7 a 18 hs 
TE: 4997931","Calle La Pirincha esq. El Crespin
Atención: 7 a 18 hs 
TE: 4997931","Calle La Pirincha esq. El Crespin
Atención: 7 a 18 hs 
TE: 4997931",,,,,"4997931",,7 a 18 hs,,
-64.247673,-31.4484977,0,CS N° 70 - Estación Flores,Centro de Salud,"Estocolmo 4600
Atención 7 a 17 hs
TE: 4333208","Estocolmo 4600
Atención 7 a 17 hs
TE: 4333208","Estocolmo 4600
Atención 7 a 17 hs
TE: 4333208","Estocolmo 4600
Atención 7 a 17 hs
TE: 4333208",,,,,"4333208",,,,
-64.1330108,-31.4522672,0,CS N° 71 - Cooperativa El Arco,Centro de Salud,"Av. Sotomayor 3421
Atención 7 a 14 hs
TE: 4338631","Av. Sotomayor 3421
Atención 7 a 14 hs
TE: 4338631","Av. Sotomayor 3421
Atención 7 a 14 hs
TE: 4338631","Av. Sotomayor 3421
Atención 7 a 14 hs
TE: 4338631",,,,,"4338631",,,,
-64.059992,-31.378005,0,CS N° 72 - La Floresta,Centro de Salud,"Calle Las Orquidias 9945
Atención 7 a 14 hs 
TE: 4997930","Calle Las Orquidias 9945
Atención 7 a 14 hs 
TE: 4997930","Calle Las Orquidias 9945
Atención 7 a 14 hs 
TE: 4997930","Calle Las Orquidias 9945
Atención 7 a 14 hs 
TE: 4997930",,,,,"4997930",,,,
-64.246765,-31.483352,0,CS N° 73 - Parque Futura,Centro de Salud,"Calle Guanasacate (Esq. Aruba)
Atención 7 a 17 hs 
TE: 4333517/3317","Calle Guanasacate (Esq. Aruba)
Atención 7 a 17 hs 
TE: 4333517/3317","Calle Guanasacate (Esq. Aruba)
Atención 7 a 17 hs 
TE: 4333517/3317","Calle Guanasacate (Esq. Aruba)
Atención 7 a 17 hs 
TE: 4333517/3317",,,,,4333517/3317,,,,
-64.105461,-31.355414,0,CS N° 74 - Villa Esquiú,Centro de Salud,"A. Arturo Capdevila Km 10
Atención 7 a 14 hs 
TE: 4999910","A. Arturo Capdevila Km 10
Atención 7 a 14 hs 
TE: 4999910","A. Arturo Capdevila Km 10
Atención 7 a 14 hs 
TE: 4999910","A. Arturo Capdevila Km 10
Atención 7 a 14 hs 
TE: 4999910",,,,,"4999910",,,,
-64.16007,-31.464296,0,CS N° 75 - Cerveceros,Centro de Salud,"Calle Onofrio Palamara 2825 (entre Reyna y Saavedra)
Atención 7 a 14 hs 
TE: 4334357 / 4379","Calle Onofrio Palamara 2825 (entre Reyna y Saavedra)
Atención 7 a 14 hs 
TE: 4334357 / 4379","Calle Onofrio Palamara 2825 (entre Reyna y Saavedra)
Atención 7 a 14 hs 
TE: 4334357 / 4379","Calle Onofrio Palamara 2825 (entre Reyna y Saavedra)
Atención 7 a 14 hs 
TE: 4334357 / 4379",,,,,4334357 / 4379,,,,
-64.263116,-31.421353,0,CS N° 76 - Villa Unión,Centro de Salud,"Calle Tres Cruces (Esq. Cataneo)
Atención 7 a 14 hs 
TE: 4333332 / 3209","Calle Tres Cruces (Esq. Cataneo)
Atención 7 a 14 hs 
TE: 4333332 / 3209","Calle Tres Cruces (Esq. Cataneo)
Atención 7 a 14 hs 
TE: 4333332 / 3209","Calle Tres Cruces (Esq. Cataneo)
Atención 7 a 14 hs 
TE: 4333332 / 3209",,,,,4333332 / 3209,,,,
-64.272305,-31.384804,0,CS N° 77 - Don Bosco,Centro de Salud,"Santiago Costamagna Nº 7000 esq.Vespignani
Atención 7 a 14 hs 
TE: 4337816","Santiago Costamagna Nº 7000 esq.Vespignani
Atención 7 a 14 hs 
TE: 4337816","Santiago Costamagna Nº 7000 esq.Vespignani
Atención 7 a 14 hs 
TE: 4337816","Santiago Costamagna Nº 7000 esq.Vespignani
Atención 7 a 14 hs 
TE: 4337816",,,,,"4337816",,,,
-64.162989,-31.357558,0,CS N° 78 - Parque Liceo II Secc.,Centro de Salud,"Guillermo Hudson 4600 esq Calixto Oyuela
Atención 7 a 20:00 hs 
TE: 4332862","Guillermo Hudson 4600 esq Calixto Oyuela
Atención 7 a 20:00 hs 
TE: 4332862","Guillermo Hudson 4600 esq Calixto Oyuela
Atención 7 a 20:00 hs 
TE: 4332862","Guillermo Hudson 4600 esq Calixto Oyuela
Atención 7 a 20:00 hs 
TE: 4332862",,,,,"4332862",,,,
-64.198297,-31.4995545,0,CS N°79 - Albert Sabin,Centro de Salud,"Camino San Antonio Km 7 1/2
Atención 7 a 19 hs 
TE: 4333215","Camino San Antonio Km 7 1/2
Atención 7 a 19 hs 
TE: 4333215","Camino San Antonio Km 7 1/2
Atención 7 a 19 hs 
TE: 4333215","Camino San Antonio Km 7 1/2
Atención 7 a 19 hs 
TE: 4333215",,,,,"4333215",,,,
-64.122643,-31.41547,0,CS N° 80 - Renacimiento,Centro de Salud,"Calle Manuel de Oliden 448
Atención 7 a 14 hs 
TE: 4338562","Calle Manuel de Oliden 448
Atención 7 a 14 hs 
TE: 4338562","Calle Manuel de Oliden 448
Atención 7 a 14 hs 
TE: 4338562","Calle Manuel de Oliden 448
Atención 7 a 14 hs 
TE: 4338562",,,,,"4338562",,,,
-64.1085074,-31.4539896,0,CS N° 81 - San Lorenzo,Centro de Salud,"Manuel Padilla 4681
Atención 7:30 a 14:45 hs 
TE: 4338632","Manuel Padilla 4681
Atención 7:30 a 14:45 hs 
TE: 4338632","Manuel Padilla 4681
Atención 7:30 a 14:45 hs 
TE: 4338632","Manuel Padilla 4681
Atención 7:30 a 14:45 hs 
TE: 4338632",,,,,"4338632",,,,
-64.283195,-31.315606,0,CS N° 82 - Villa Allende Parque,Centro de Salud,"Calle 15 S/N (entre 18 y 19)
Atención 7 a 14hs 
TE: 03543-439691","Calle 15 S/N (entre 18 y 19)
Atención 7 a 14hs 
TE: 03543-439691","Calle 15 S/N (entre 18 y 19)
Atención 7 a 14hs 
TE: 03543-439691","Calle 15 S/N (entre 18 y 19)
Atención 7 a 14hs 
TE: 03543-439691",,,,,03543-439691,,,,
-64.2391559,-31.428274,0,CS N° 83 - Ameghino Norte,Centro de Salud,"Maria Curie 1700
Atención 7 a 14 hs
TE: 4333335","Maria Curie 1700
Atención 7 a 14 hs
TE: 4333335","Maria Curie 1700
Atención 7 a 14 hs
TE: 4333335","Maria Curie 1700
Atención 7 a 14 hs
TE: 4333335",,,,,"4333335",,,,
-64.11575,-31.402825,0,CS N° 84 - Bajo Grande,Centro de Salud,"Camino a Chacra de la Merced Km 6 1/2
Atención: 7 a 14hs.
TE: 4339137","Camino a Chacra de la Merced Km 6 1/2
Atención: 7 a 14hs.
TE: 4339137","Camino a Chacra de la Merced Km 6 1/2
Atención: 7 a 14hs.
TE: 4339137","Camino a Chacra de la Merced Km 6 1/2
Atención: 7 a 14hs.
TE: 4339137",,,,,"4339137",,7 a 14hs.,,
-64.1363124,-31.3660524,0,CS N° 85 - Patricios Este,Centro de Salud,"Heroes de Vilcapujio 3725
Atención 7 a 14 hs
TE: 4335133","Heroes de Vilcapujio 3725
Atención 7 a 14 hs
TE: 4335133","Heroes de Vilcapujio 3725
Atención 7 a 14 hs
TE: 4335133","Heroes de Vilcapujio 3725
Atención 7 a 14 hs
TE: 4335133",,,,,"4335133",,,,
-64.216515,-31.480657,0,CS N° 86 - Villa El Libertador,Centro de Salud,"Calle Barraquilla S/N (entre Mercedes y Pje.Publico ex.12)
Atención 7 a 17 hs
TE: 4333512/ 3216","Calle Barraquilla S/N (entre Mercedes y Pje.Publico ex.12)
Atención 7 a 17 hs
TE: 4333512/ 3216","Calle Barraquilla S/N (entre Mercedes y Pje.Publico ex.12)
Atención 7 a 17 hs
TE: 4333512/ 3216","Calle Barraquilla S/N (entre Mercedes y Pje.Publico ex.12)
Atención 7 a 17 hs
TE: 4333512/ 3216",,,,,4333512/ 3216,,,,
-64.2616605,-31.4526836,0,CS N° 87 - Sachi,Centro de Salud,"Avenida La Donosa esquina Colalao
Atención 7 a 14 hs 
TE: 4333217","Avenida La Donosa esquina Colalao
Atención 7 a 14 hs 
TE: 4333217","Avenida La Donosa esquina Colalao
Atención 7 a 14 hs 
TE: 4333217","Avenida La Donosa esquina Colalao
Atención 7 a 14 hs 
TE: 4333217",,,,,"4333217",,,,
-64.0634881,-31.4095134,0,CS N° 88 - Villa la Merced,Centro de Salud,"Calle Malvinas Argentinas, Córdoba
Atención: 7-18 hs","Calle Malvinas Argentinas, Córdoba
Atención: 7-18 hs","Calle Malvinas Argentinas, Córdoba
Atención: 7-18 hs","Calle Malvinas Argentinas, Córdoba
Atención: 7-18 hs",,,,,,,7-18 hs,,
-64.1965928,-31.5139885,0,CS N° 89 - Villa Rivadavia,Centro de Salud,"Camino a San Antonio Km 8 1/2
Atención 7 a 15 hs 
TE: 4333228","Camino a San Antonio Km 8 1/2
Atención 7 a 15 hs 
TE: 4333228","Camino a San Antonio Km 8 1/2
Atención 7 a 15 hs 
TE: 4333228","Camino a San Antonio Km 8 1/2
Atención 7 a 15 hs 
TE: 4333228",,,,,"4333228",,,,
-64.082319,-31.463619,0,CS N° 90 - Ituzaingo Anexo,Centro de Salud,"Calle James Frank 5571
Atención 7 a  19 hs 
TE: 4348527","Calle James Frank 5571
Atención 7 a  19 hs 
TE: 4348527","Calle James Frank 5571
Atención 7 a  19 hs 
TE: 4348527","Calle James Frank 5571
Atención 7 a  19 hs 
TE: 4348527",,,,,"4348527",,,,
-64.113185,-31.439264,0,CS N° 91 - Villa Bustos,Centro de Salud,"Pasaje Ancasti esq. Benjamin Viel
Atención:  Lunes a viernes de 7 a 19hs 
TE: 4338528","Pasaje Ancasti esq. Benjamin Viel
Atención:  Lunes a viernes de 7 a 19hs 
TE: 4338528","Pasaje Ancasti esq. Benjamin Viel
Atención:  Lunes a viernes de 7 a 19hs 
TE: 4338528","Pasaje Ancasti esq. Benjamin Viel
Atención:  Lunes a viernes de 7 a 19hs 
TE: 4338528",,,,,"4338528",,Lunes a viernes de 7 a 19hs,,
-64.231299,-31.332388,0,CS N° 92 - Los Cortaderos,Centro de Salud,"Boulevard de los Polacos y Canal Norte
Atención 7 a 14 hs.
TE:03543-449026","Boulevard de los Polacos y Canal Norte
Atención 7 a 14 hs.
TE:03543-449026","Boulevard de los Polacos y Canal Norte
Atención 7 a 14 hs.
TE:03543-449026","Boulevard de los Polacos y Canal Norte
Atención 7 a 14 hs.
TE:03543-449026",,,,,,,,,
-64.252617,-31.427766,0,CS N° 93 - Villa La Tela,Centro de Salud,"Aviador Almonacid esq. Avdor Zaar
Atención: Lunes a viernes de 7 a 14hs 
TE: 4343188","Aviador Almonacid esq. Avdor Zaar
Atención: Lunes a viernes de 7 a 14hs 
TE: 4343188","Aviador Almonacid esq. Avdor Zaar
Atención: Lunes a viernes de 7 a 14hs 
TE: 4343188","Aviador Almonacid esq. Avdor Zaar
Atención: Lunes a viernes de 7 a 14hs 
TE: 4343188",,,,,"4343188",,Lunes a viernes de 7 a 14hs,,
-64.1516791,-31.3540435,0,CS N° 94 - Parque Liceo III Secc.,Centro de Salud,"Calle Juan Luis Orrego 4735 (Esq. Constancio Vigil)
Atención: Lunes a viernes de 7 a 15hs.
TE: 4331924","Calle Juan Luis Orrego 4735 (Esq. Constancio Vigil)
Atención: Lunes a viernes de 7 a 15hs.
TE: 4331924","Calle Juan Luis Orrego 4735 (Esq. Constancio Vigil)
Atención: Lunes a viernes de 7 a 15hs.
TE: 4331924","Calle Juan Luis Orrego 4735 (Esq. Constancio Vigil)
Atención: Lunes a viernes de 7 a 15hs.
TE: 4331924",,,,,"4331924",,Lunes a viernes de 7 a 15hs.,,
-64.1468027,-31.4502847,0,CS N° 95 - Camino a 60 Cuadras,Centro de Salud,"Camino a 60 cuadas Km 3 1/2 
Atención: Lunes a viernes de 7 a 14hs 
TE: 4348520","Camino a 60 cuadas Km 3 1/2 
Atención: Lunes a viernes de 7 a 14hs 
TE: 4348520","Camino a 60 cuadas Km 3 1/2 
Atención: Lunes a viernes de 7 a 14hs 
TE: 4348520","Camino a 60 cuadas Km 3 1/2 
Atención: Lunes a viernes de 7 a 14hs 
TE: 4348520",,,,,"4348520",,Lunes a viernes de 7 a 14hs,,
-64.1284778,-31.4436506,0,CS N° 96 - Jose Ignacio Diaz 1 Secc,Centro de Salud,"Calle Publica Nº 1 Mza. 26 Lote 17
Atención: Lunes a viernes de 7 a 14hs 
TE: 4356714","Calle Publica Nº 1 Mza. 26 Lote 17
Atención: Lunes a viernes de 7 a 14hs 
TE: 4356714","Calle Publica Nº 1 Mza. 26 Lote 17
Atención: Lunes a viernes de 7 a 14hs 
TE: 4356714","Calle Publica Nº 1 Mza. 26 Lote 17
Atención: Lunes a viernes de 7 a 14hs 
TE: 4356714",,,,,"4356714",,Lunes a viernes de 7 a 14hs,,
-64.234529,-31.488507,0,CS N° 97 - Cabildo,Centro de Salud,"AV. Colorado esq.Gaiman
Atención: Lunes a viernes de 7 a 14:30 hs
TE: 4343230","AV. Colorado esq.Gaiman
Atención: Lunes a viernes de 7 a 14:30 hs
TE: 4343230","AV. Colorado esq.Gaiman
Atención: Lunes a viernes de 7 a 14:30 hs
TE: 4343230","AV. Colorado esq.Gaiman
Atención: Lunes a viernes de 7 a 14:30 hs
TE: 4343230",,,,,"4343230",,Lunes a viernes de 7 a 14:30 hs,,
-64.1076423,-31.3931263,0,CS N° 98 - Mercado de Abasto,Centro de Salud,"MERCADO DE ABASTO
Atención: Lunes:
ZEITUNLIAN y Contrera
5.30 hs - 13.12 hs

Martes y Jueves:
ZEITUNLIAN: 8 - 15.12 hs
Contrera: 12 - 19 hs

Miércoles y Viernes:
ZEITUNLIAN: 9 - 16.12 hs.
Contrera: 9 - 16 hs
TE: 4969060","MERCADO DE ABASTO
Atención: Lunes:
ZEITUNLIAN y Contrera
5.30 hs - 13.12 hs

Martes y Jueves:
ZEITUNLIAN: 8 - 15.12 hs
Contrera: 12 - 19 hs

Miércoles y Viernes:
ZEITUNLIAN: 9 - 16.12 hs.
Contrera: 9 - 16 hs
TE: 4969060","MERCADO DE ABASTO
Atención: Lunes:
ZEITUNLIAN y Contrera
5.30 hs - 13.12 hs

Martes y Jueves:
ZEITUNLIAN: 8 - 15.12 hs
Contrera: 12 - 19 hs

Miércoles y Viernes:
ZEITUNLIAN: 9 - 16.12 hs.
Contrera: 9 - 16 hs
TE: 4969060","MERCADO DE ABASTO
Atención: Lunes:
ZEITUNLIAN y Contrera
5.30 hs - 13.12 hs

Martes y Jueves:
ZEITUNLIAN: 8 - 15.12 hs
Contrera: 12 - 19 hs

Miércoles y Viernes:
ZEITUNLIAN: 9 - 16.12 hs.
Contrera: 9 - 16 hs
TE: 4969060",,9 - 16 hs,,<br>ZEITUNLIAN: 8 - 15.12 hs,"4969060",,Lunes:,,<br>ZEITUNLIAN: 9 - 16.12 hs.
-64.2620959,-31.4029136,0,CS N° 99 - LOS ROBLES,Centro de Salud,"Docentes Argentinos 5890
Atención: Lunes a viernes de 7 a 14 hs","Docentes Argentinos 5890
Atención: Lunes a viernes de 7 a 14 hs","Docentes Argentinos 5890
Atención: Lunes a viernes de 7 a 14 hs","Docentes Argentinos 5890
Atención: Lunes a viernes de 7 a 14 hs",,,,,,,Lunes a viernes de 7 a 14 hs,,
-64.2510212,-31.4760221,0,CS N° 100 - HÉROES DE MALVINAS,Centro de Salud,"América Central
Atención: Lunes a viernes de 7 a 14hs","América Central
Atención: Lunes a viernes de 7 a 14hs","América Central
Atención: Lunes a viernes de 7 a 14hs","América Central
Atención: Lunes a viernes de 7 a 14hs",,,,,,,Lunes a viernes de 7 a 14hs,,
-64.2540959,-31.3142923,0,CS N° 101 - 12 de Julio,Centro de Salud,"Calle Manuel Lisandro Borda 6000
Atención lunes a viernes 7 a 15hs","Calle Manuel Lisandro Borda 6000
Atención lunes a viernes 7 a 15hs","Calle Manuel Lisandro Borda 6000
Atención lunes a viernes 7 a 15hs","Calle Manuel Lisandro Borda 6000
Atención lunes a viernes 7 a 15hs",,,,,,,,,
-64.175815,-31.411972,0,DEM CENTRO,Dirección de Especialidades Médicas,,4332738 / 39,"Lunes a Miércoles 7:00 a 17:00hs, Jueves y Viernes 7 a 14hs.

","Calle Sarmiento 450
","Cabina de audiometría; Cardiología – Electrocardiograma; Cardiología – Ergometría; Cardiología – Monitoreo holter; Ecografía; Electroencefalografo; Laboratorio automatizado; Mamografía; Oftalmología – Autorefractómetro; Oftalmología – Lámpara de hendidura; Oftalmología – Lupas y campo visual computarizado; Oftalmología – Oftalmoscopio binocular indirecto; Oftalmología – Oftalmoscopio directo",,,,,,,,
-64.175531,-31.412975,0,Hospital Municipal de Urgencias,Hospital,"Calle Catamarca 441 
Atención 24 horas 
TE: 4276200 int. 4129-4171-4172",4276200 int. 4129-4171-4172,Atención 24 hs,Catamarca 441 - B° Centro,"Bacteriología; Cirugía de tórax; Cirugía general; Cirugía plástica; Cirugía vascular; Clínica médica; Diagnóstico por imágenes; Emergentología; Gastroenterología; Kinesiología; Laboratorio; Medicina legal; Medicina transfusional; Neurocirugía; Salud mental; Toxicología; Traumatología y Ortopedia; Urología",,,,4276200 int. 4129-4171-4172,,,,
-64.182585,-31.380075,0,Hospital Infantil Municipal ,Hospital,"Calle Lavalleja 3050 - Bº Alta Córdoba 
Atención 24 hs 
TE: 4708800 - 4335452 al 58 Conm. 5000 Int 5010/11/12",4708800 - 4335452 al 58 Conm. 5000 Int 5010/11/12,Atención 24 hs,Lavalleja 3050 - Bº Alta Córdoba ,"Alergia e Inmunología; Anatomía patológica; Cardiología; Cirugía general; Cirugía plástica – Quemado curación; Consultorio de obesidad; Consultorio de pre quirúrgico y mediano riesgo; Consultorio de educación diabetológica; Dermatología; Diabetes; Endocrinología; Espirometría; Fonoaudiología; Gastroenterología; Hematología; Infectología; Kinesiología; Laboratorio; Medicina del deporte; Nefrología; Neumonología; Neurocirugía; Neurología; Neurorehabilitación; Nutrición; O.R.L; Oftalmología; Oncología; Psicomotricidad; Reumatología; Salud mental – Psiquiatría; Salud Mental – Psicología; Salud Mental – Psicopedagogía; Trabajo social; Traumatología; Urología; Vacunatorio",,,,4708800 - 4335452 al 58 Conm. 5000 Int 5010/11/12,,,,
-64.206693,-31.471013,0,Hospital Municipal Príncipe de Asturias,Hospital,"Calle Defensa 1200 - B° Villa El Libertador
TE: 4343221 - 4343222 - 4343223 - 4343224 - 4343225",4343221 - 4343222 - 4343223 - 4343224 - 4343225,Atención 24hs,Defensa 1200 - B° Villa El Libertador,"Cardiología; Cirugía general; Clínica médica; Diagnóstico por imágenes; Ginecología y Obstetricia; Guardia y shock room (Emergencias); Kinesiología; Medicina familiar; Nutrición; Odontología; Oftalmología; Pediatría; Salud mental; UTI (Unidad de Terapia Intensiva)",,,,4343221 - 4343222 - 4343223 - 4343224 - 4343225,,,,
-64.176394,-31.412123,0,Banco de Sangre Municipal,Banco de Sangre,,4332747 - 4276240 interno 4474/75/76,Lunes a viernes de 8 a 13 hs.,"Salta 480 B° Centro
",Hemoterapia,,,,,,,,
-64.136987,-31.417331,0,Residencia Municipal de Larga Estadía para Adultos Mayores “Padre La Mónaca”,Residencia para personas mayores,,4338558 - 4338559,"Atención 8:00 a 14:00
",Calle Estanislao Learte 653 - B° Mauller,,,,,,,,,
-64.209962,-31.407898,0,DEM OESTE,Dirección de Especialidades Médicas,,4337113 / 12 – 4337312,"Atención 07:00 a 17:00 hs
","Deán Funes 2000 esq. Muñiz - Bº Alberdi
","Cabina de audiometría; Cardiología – Electrocardiograma; Cardiología – Ergometría; Cardiología – Monitoreo holter; Ecografía; Electroencefalografo; Laboratorio automatizado; Mamografía; Oftalmología – Autorefractómetro; Oftalmología – Lámpara de hendidura; Oftalmología – Lupas y campo visual computarizado; Oftalmología – Oftalmoscopio binocular indirecto; Oftalmología – Oftalmoscopio directo",,,,,,,,
-64.181201,-31.37937,0,DEM NORTE,Dirección de Especialidades Médicas,,4708880 / 81,"Atención 07:00 a 15:00 hs
","Anacreonte esq. Jujuy - Bº Alta Córdoba
","Cabina de audiometría; Cardiología – Electrocardiograma; Cardiología – Ergometría; Cardiología – Monitoreo holter; Ecografía; Electroencefalografo; Laboratorio automatizado; Mamografía; Oftalmología – Autorefractómetro; Oftalmología – Lámpara de hendidura; Oftalmología – Lupas y campo visual computarizado; Oftalmología – Oftalmoscopio binocular indirecto; Oftalmología – Oftalmoscopio directo",,,,,,,,
-64.1639553,-31.3941374,0,Hospital de Pronta Atención COMIPAZ,Hospital de Pronta Atención,Av. del Trabajo 830,0351-4456667,Guardia 24 horas,Av. del Trabajo 830,"Atención ambulatoria; área de internación de tipo intermedia; salas de shock room; internaciones; atención de urgencias de mediana complejidad; servicio de enfermería; sala de diagnóstico por imágenes; análisis de laboratorio; servicio de farmacia; base y unidades móviles del Servicio de Emergencias Médicas Municipal 107.",,,,,,,,
-64.135155,-31.4067311,0,Hospital de Pronta Atención San Jorge,Hospital de Pronta Atención,"Ramon Bautista Mestre 5850
",,"Guardia 24 horas
","Ramon Bautista Mestre 5850
","Atención ambulatoria; área de internación de tipo intermedia; salas de shock room; internaciones; atención de urgencias de mediana complejidad; servicio de enfermería; sala de diagnóstico por imágenes; análisis de laboratorio; servicio de farmacia; base y unidades móviles del Servicio de Emergencias Médicas Municipal 107.",,,,,,,,
-64.2527824,-31.4339018,0,Hospital de Pronta Atención Madre Teresa de Calcuta,Hospital de Pronta Atención,"Av. Fuerza Aerea Argentina 5085
TEL: 0351 483-1676",0351 4831676,Guardia 24 horas,"Av. Fuerza Aérea Argentina 5085
","Atención ambulatoria; área de internación de tipo intermedia; salas de shock room; internaciones; atención de urgencias de mediana complejidad; servicio de enfermería; sala de diagnóstico por imágenes; análisis de laboratorio; servicio de farmacia; base y unidades móviles del Servicio de Emergencias Médicas Municipal 107.",,,,,0351 483-1676,,,
-64.2561026,-31.3404359,0,Hospital de Pronta Atención Cura Brochero,Hospital de Pronta Atención,"Av. Ricardo Rojas 6950
TEL: 03543 40-7299","3543407299 / 3543407131
",Guardia 24 horas,"Av. Ricardo Rojas 6950
","Atención ambulatoria; área de internación de tipo intermedia; salas de shock room; internaciones; atención de urgencias de mediana complejidad; servicio de enfermería; sala de diagnóstico por imágenes; análisis de laboratorio; servicio de farmacia; base y unidades móviles del Servicio de Emergencias Médicas Municipal 107.",,,,,03543 40-7299,,,
